flight,wind_speed,wind_angle,battery_voltage,battery_current,speed,time_day
1,0.400000006,347,23.48847198,0,8,Tarde
2,3.299999952,210,22.99516296,22.49556923,4,Tarde
3,0.699999988,339,22.48307419,0.174939021,8,Manana
4,1.299999952,184,24.80562782,-0.127228379,6,Manana
5,1.100000024,199,25.64575386,-0.031807095,6,Tarde
6,9.399999619,11,21.61289978,25.66832542,10,Tarde
7,2.799999952,132,20.93929672,23.62471962,12,Tarde
8,1.399999976,147,22.37790298,20.27702332,6,Noche
9,8.300000191,209,21.04071236,25.18326759,4,Manana
10,3.299999952,273,23.15793037,20.22136116,4,Manana
11,2.900000095,203,22.87747002,21.39027214,12,Manana
12,1.700000048,208,22.57322311,0.015903547,6,Manana
13,1.399999976,178,24.53142929,-0.007951774,12,Manana
14,8.600000381,141,22.69717598,19.6647377,10,Manana
15,6.300000191,196,21.41883087,33.24636841,8,Manana
16,6.199999809,120,21.57408524,18.24136925,12,Manana
17,4.900000095,232,21.16090965,20.52352905,10,Manana
18,3,129,22.83364868,23.51339531,4,Manana
19,4.599999905,194,21.81698418,24.48351097,8,Manana
20,1.200000048,184,23.51351166,0.151083708,10,Manana
21,0.800000012,297,23.01644897,15.09246731,6,Noche
22,8.300000191,242,23.20175171,18.32883835,10,Noche
23,11.80000019,257,22.4943428,17.70064926,6,Noche
24,2.400000095,121,21.89335823,27.04398346,8,Noche
25,8.399999619,339,23.08405876,20.52352905,4,Manana
26,8.300000191,288,21.53777695,34.94804764,4,Manana
27,7.199999809,337,23.17170334,27.02012825,8,Manana
28,8,260,22.68089867,26.17724037,8,Manana
29,2.5,47,21.51148415,29.73963356,12,Manana
30,11.39999962,228,23.92794037,17.99486351,10,Manana
31,8.899999619,257,22.74600601,17.77221489,4,Manana
32,1,64,22.88372993,-0.06361419,12,Tarde
33,6.300000191,98,21.7080555,20.14979553,4,Tarde
34,3.599999905,328,21.65546989,30.01794624,12,Manana
35,3.700000048,355,21.68050957,24.15748978,4,Manana
36,1.200000048,198,21.8445282,23.93483925,8,Manana
37,11.39999962,2,23.384552,23.10785484,8,Manana
38,2.700000048,161,22.62080002,2.337821484,8,Manana
39,5.300000191,274,21.75813675,22.53532791,12,Manana
40,6.900000095,243,23.5473175,21.02449036,4,Manana
41,8.5,328,22.73724174,17.42233658,12,Manana
42,3.200000048,194,21.82574844,28.99216843,8,Manana
43,10.60000038,18,21.85830116,19.24329376,12,Tarde
44,10.5,177,21.31866837,19.82377243,8,Tarde
45,3.599999905,204,23.30191612,31.54468727,6,Tarde
46,7.599999905,65,22.48056984,28.45939827,10,Tarde
47,6.599999905,11,21.51774406,24.64254761,6,Tarde
48,2.5,279,21.38252258,27.21096992,4,Tarde
49,3.599999905,172,23.26811028,30.50300407,10,Tarde
50,3.599999905,336,22.6095314,21.10400772,12,Noche
51,9.800000191,110,22.30653572,15.91149998,12,Tarde
52,10.39999962,224,21.14463234,21.92304039,10,Tarde
53,1.899999976,289,23.13163757,20.87340736,10,Tarde
54,1.100000024,314,22.11872864,22.71026611,6,Tarde
55,3.400000095,42,21.0745182,27.43362045,12,Tarde
56,2.400000095,45,22.95259285,21.17557335,4,Tarde
57,1.600000024,194,22.23266411,22.16954613,10,Tarde
58,1,221,22.66837883,0.06361419,12,Tarde
59,7.5,210,22.19009399,22.57508659,6,Tarde
60,6.199999809,9,21.41757965,26.05796242,4,Tarde
61,1.299999952,139,23.07279015,0.055662416,4,Noche
62,4,17,20.89923096,28.30036354,8,Noche
63,3.5,322,23.37703896,24.60278893,6,Noche
64,5.400000095,311,22.06238556,27.60855865,10,Noche
65,8.699999809,318,21.13586807,27.11554909,8,Noche
66,9.699999809,59,22.9025116,22.07412529,6,Tarde
67,0.200000003,311,23.26811028,0.079517737,10,Tarde
68,9.399999619,232,21.38252258,24.08592415,10,Tarde
69,1.5,334,23.78645897,21.07220078,6,Tarde
70,7.699999809,66,22.82613564,21.96279907,6,Tarde
71,2.799999952,33,23.08030319,22.12978745,6,Tarde
72,6,172,22.12248421,24.0779705,6,Tarde
73,1.399999976,325,21.29487801,26.04205894,12,Tarde
74,2.5,82,21.16591644,29.73168182,12,Tarde
75,7.699999809,217,23.9767704,17.43028831,6,Tarde
76,4.900000095,32,20.22687912,35.07527542,4,Manana
77,13.39999962,53,23.08656311,18.94112587,12,Manana
78,4.400000095,30,22.27523422,21.04039383,6,Manana
79,4.099999905,327,21.7343483,29.52493668,10,Manana
80,15.80000019,6,20.58371353,31.83890343,12,Manana
81,6.199999809,240,22.00854683,19.22739029,6,Manana
82,4,53,21.84202385,23.56905746,8,Manana
83,6.900000095,3,20.440979,28.22084618,12,Manana
84,8.399999619,353,22.4467659,29.82710457,6,Manana
85,4.400000095,344,22.40670013,23.4895401,10,Manana
86,3.099999905,152,21.19346237,20.83364677,12,Manana
87,2,176,22.14001274,23.22713089,4,Noche
88,4.699999809,352,21.38252258,22.35243607,8,Noche
89,1.799999952,157,23.9029007,-0.015903547,8,Noche
90,1.600000024,112,21.09580231,23.163517,10,Noche
91,11.10000038,177,21.22851944,21.00858688,12,Noche
92,0.600000024,136,21.21224403,22.07412529,12,Manana
93,4.300000191,192,21.420084,21.66858482,4,Manana
94,1.5,59,21.17092514,19.78401375,12,Manana
95,1.799999952,170,22.91753578,20.37244415,8,Manana
96,1.200000048,86,23.13414001,23.69628716,12,Manana
97,10.60000038,75,22.22765541,19.45003891,10,Manana
98,10.10000038,49,21.48143387,23.53725052,10,Manana
99,4.800000191,187,22.68966293,22.31267738,4,Manana
100,5.099999905,12,21.28360939,25.00037766,4,Manana
