flight,time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,speed,payload,altitude,date,time_day,route
1,100,0.400000006,347,23.48847198,0,-79.78275872,40.45897423,265.5032121,0.004028563,0.022684956,-0.71590364,0.697818935,0.004267154,0.001364179,0.034299773,-6.01E-05,0.001096688,-0.003056845,-0.264921462,-0.361761568,-9.800747951,8,500,50,6/19/2019,Tarde,R1
2,53.02,3.299999952,210,22.99516296,22.49556923,-79.78276708,40.4589729,360.3966397,0.013209699,-0.004266052,-0.721549571,0.692223668,-0.016820328,0.117535829,2.509261982,-0.222292691,0.012061696,-0.0965143,0.133854388,-0.029128526,-8.554720913,4,500,100,6/19/2019,Tarde,R1
3,125.69,0.699999988,339,22.48307419,0.174939021,-79.78276154,40.45902728,272.548839,0.012045521,-0.029627359,-0.999272883,0.020758223,-0.052906141,0.043632753,-0.011461631,-0.01268372,-0.002956366,0.006882173,0.683314538,-0.3574362,-9.773556059,8,0,25,7/15/2019,Manana,R1
4,2.51,1.299999952,184,24.80562782,-0.127228379,-79.78281344,40.45899808,277.4127639,0.007566444,0.001139907,-0.999671757,0.024451734,-0.017721371,-0.015504105,0.024327793,0.002089526,0.000502717,0.00220512,-0.044813102,-0.176106752,-9.809804118,6,250,25,7/15/2019,Manana,R1
5,50.3,1.100000024,199,25.64575386,-0.031807095,-79.7827505,40.45897393,267.7415747,0.013805246,0.008185102,-0.774778485,0.632029057,0.008114771,-0.000714407,0.005084765,-0.005686942,0.00085526,0.000864413,0.043827403,-0.31400564,-9.802569943,6,500,100,6/19/2019,Tarde,R1
6,111.6,9.399999619,11,21.61289978,25.66832542,-79.78259778,40.45854214,366.4581912,-0.063139625,-0.01621121,0.144552559,0.987347543,-0.621610044,8.651480844,0.497167084,-0.096867688,-0.128686219,-0.033344295,-1.226744382,0.106643748,-9.814711686,10,500,100,6/19/2019,Tarde,R1
7,113.9,2.799999952,132,20.93929672,23.62471962,-79.78281835,40.45900468,366.1701966,-0.035350014,0.033340733,0.134458587,0.98972708,-0.059080171,-0.786404969,-0.074591588,0.305822819,-2.798666477,0.17760016,0.824601322,-0.120313744,-9.124171305,12,500,100,6/19/2019,Tarde,R1
8,18.2,1.399999976,147,22.37790298,20.27702332,-79.78283199,40.45893145,269.9420408,-0.006825803,-0.005356036,-0.999365747,0.034538027,-0.078774528,0.000152965,0.257131124,-0.08280658,0.104576908,-0.004295763,-0.017887441,0.157272888,-10.10634391,6,0,25,6/24/2019,Noche,R1
9,94.01,8.300000191,209,21.04071236,25.18326759,-79.78138851,40.45950877,344.4361317,-0.023601634,-0.070722342,0.973799229,0.21484077,0.01938797,4.304411051,0.561476039,0.197467759,0.080123648,0.072433829,-1.135337052,-0.312441035,-9.909691519,4,500,75,6/24/2019,Manana,R2
10,197.71,3.299999952,273,23.15793037,20.22136116,-79.78283267,40.45891108,285.0936426,0.021392364,-0.012648024,0.120717734,0.992375791,-0.002461456,-0.009633456,-1.222114767,-0.076929018,0.007695781,-0.026853237,0.446136524,0.618489601,-9.872802604,4,0,75,6/24/2019,Manana,R2
11,31.4,2.900000095,203,22.87747002,21.39027214,-79.78283826,40.45893097,291.8513946,0.035826311,-0.006764967,-0.555602551,0.830648243,0.378898864,-0.095146881,0.410361387,0.069572374,-0.034565248,-0.535400093,0.545604899,-0.131818415,-9.786761411,12,250,25,6/24/2019,Manana,R2
12,191.31,1.700000048,208,22.57322311,0.015903547,-79.78281706,40.45891307,269.1521795,0.021929162,0.006548387,0.148948878,0.988580048,-0.02656929,0.038392567,0.033805492,-0.001445259,0.001274332,-0.005575019,0.475457533,-0.080276268,-9.792979925,6,500,75,6/24/2019,Manana,R2
13,188.11,1.399999976,178,24.53142929,-0.007951774,-79.78281236,40.45890633,267.063979,0.0274009,0.002426174,0.155405506,0.987467766,-0.003480696,0.013520464,0.009065286,0.004967287,-0.000819101,0.002395133,0.546855581,0.00637507,-9.797254824,12,250,100,6/24/2019,Manana,R2
